epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.11107,3.23891,4.42057,1.92982,0,0,0,0,3.39648,4.59761,1.77561,1.667e-05,1.667e-05,1.667e-05
2,12.3486,3.27996,4.43901,1.91698,0,0,0,0,3.26157,4.53768,1.71147,4.9845e-05,4.9845e-05,4.9845e-05
3,18.5355,3.59375,4.46272,1.73809,0,0,0,0,3.26157,4.53768,1.71147,8.27999e-05,8.27999e-05,8.27999e-05
4,24.555,3.55352,4.35403,1.77852,0,0,0,0,3.03141,4.4645,1.59166,0.000115535,0.000115535,0.000115535
5,30.6833,2.84803,4.18398,1.69371,0,0,0,0,3.03141,4.4645,1.59166,0.00014805,0.00014805,0.00014805
6,36.5345,2.69169,4.07357,1.63236,0,0,0,0,2.8672,4.38149,1.45717,0.000180344,0.000180344,0.000180344
7,42.4519,3.54841,4.13171,1.43885,0,0,0,0,2.8672,4.38149,1.45717,0.000212419,0.000212419,0.000212419
8,48.4003,2.45895,4.03442,1.45075,0,0,0,0,2.8672,4.38149,1.45717,0.000244274,0.000244274,0.000244274
9,54.4765,2.94779,3.88405,1.37309,0,0,0,0,2.57202,4.25122,1.23356,0.000275909,0.000275909,0.000275909
10,61.0689,2.26636,3.74034,1.27325,0,0,0,0,2.57202,4.25122,1.23356,0.000307323,0.000307323,0.000307323
11,67.4561,2.94862,3.88664,1.19118,0,0,0,0,2.57202,4.25122,1.23356,0.000338518,0.000338518,0.000338518
12,74.19,2.22339,3.69335,1.21534,0,0,0,0,2.57202,4.25122,1.23356,0.000369492,0.000369492,0.000369492
13,81.4526,2.98734,3.76342,1.23069,0,0,0,0,2.29663,4.10784,1.05148,0.000400247,0.000400247,0.000400247
14,88.5907,2.49928,3.57443,1.18477,0,0,0,0,2.29663,4.10784,1.05148,0.000430781,0.000430781,0.000430781
15,95.5414,2.35718,3.45249,1.19459,0,0,0,0,2.29663,4.10784,1.05148,0.000461096,0.000461096,0.000461096
16,103.513,3.17355,3.5902,1.11343,0,0,0,0,2.29663,4.10784,1.05148,0.00049119,0.00049119,0.00049119
17,110.396,2.61102,4.28556,1.29873,0,0,0,0,2.29663,4.10784,1.05148,0.000521064,0.000521064,0.000521064
18,117.151,2.60155,3.52614,1.16505,0,0,0,0,2.29663,4.10784,1.05148,0.000550718,0.000550718,0.000550718
19,124.307,2.43961,3.03817,1.078,0,0,0,0,2.42877,3.87087,0.99189,0.000580153,0.000580153,0.000580153
20,132.244,2.98218,3.12214,1.07292,0,0,0,0,2.42877,3.87087,0.99189,0.000609367,0.000609367,0.000609367
21,139.575,2.09415,2.82377,0.99732,0,0,0,0,2.42877,3.87087,0.99189,0.000638361,0.000638361,0.000638361
22,146.131,2.61644,3.65369,1.17648,0,0,0,0,2.42877,3.87087,0.99189,0.000667135,0.000667135,0.000667135
23,152.951,2.17026,2.86936,1.01433,0,0,0,0,2.42877,3.87087,0.99189,0.000695689,0.000695689,0.000695689
24,159.549,2.26534,2.83404,0.99926,0,0,0,0,2.42877,3.87087,0.99189,0.000724023,0.000724023,0.000724023
25,166.234,2.29372,2.85741,1.05213,0,0,0,0,2.42877,3.87087,0.99189,0.000752137,0.000752137,0.000752137
26,172.991,2.22576,2.95063,1.0586,0,0,0,0,2.42877,3.87087,0.99189,0.000780031,0.000780031,0.000780031
27,181.039,2.12411,2.72333,1.04825,0.07582,0.53535,0.29801,0.08646,2.16134,3.25801,0.96425,0.000807705,0.000807705,0.000807705
28,190.986,2.15611,2.44144,0.98854,0.07582,0.53535,0.29801,0.08646,2.16134,3.25801,0.96425,0.000835159,0.000835159,0.000835159
29,201.686,1.91108,2.19206,0.97867,0.07582,0.53535,0.29801,0.08646,2.16134,3.25801,0.96425,0.000862392,0.000862392,0.000862392
30,209.196,2.29113,3.12334,1.06273,0.07582,0.53535,0.29801,0.08646,2.16134,3.25801,0.96425,0.000889406,0.000889406,0.000889406
31,221.613,2.44823,2.42362,0.98916,0.07582,0.53535,0.29801,0.08646,2.16134,3.25801,0.96425,0.0009162,0.0009162,0.0009162
32,229.432,1.99123,2.08608,0.98892,0.07582,0.53535,0.29801,0.08646,2.16134,3.25801,0.96425,0.000942774,0.000942774,0.000942774
33,237.205,2.26682,3.54002,1.12581,0.07582,0.53535,0.29801,0.08646,2.16134,3.25801,0.96425,0.000969127,0.000969127,0.000969127
34,244.774,2.03195,2.32107,0.96732,0.07582,0.53535,0.29801,0.08646,2.16134,3.25801,0.96425,0.000995261,0.000995261,0.000995261
35,253.597,2.02726,2.14079,0.99153,0.07582,0.53535,0.29801,0.08646,2.16134,3.25801,0.96425,0.00102117,0.00102117,0.00102117
36,261.283,1.98369,2.14814,0.98228,0.07582,0.53535,0.29801,0.08646,2.16134,3.25801,0.96425,0.00104687,0.00104687,0.00104687
37,268.92,1.97094,2.26059,0.95614,0.07582,0.53535,0.29801,0.08646,2.16134,3.25801,0.96425,0.00107234,0.00107234,0.00107234
38,276.748,2.18703,2.80036,1.10163,0.07582,0.53535,0.29801,0.08646,2.16134,3.25801,0.96425,0.00109759,0.00109759,0.00109759
39,284.746,2.01157,2.13238,1.00654,0.07582,0.53535,0.29801,0.08646,2.16134,3.25801,0.96425,0.00112263,0.00112263,0.00112263
40,294.483,2.19917,2.21926,0.98632,0.57849,0.42424,0.44152,0.25054,1.81408,1.84313,0.95711,0.00114744,0.00114744,0.00114744
41,303.579,1.79361,1.812,0.96608,0.57849,0.42424,0.44152,0.25054,1.81408,1.84313,0.95711,0.00117203,0.00117203,0.00117203
42,312.636,2.17185,1.88082,0.98238,0.57849,0.42424,0.44152,0.25054,1.81408,1.84313,0.95711,0.00119641,0.00119641,0.00119641
43,322.227,2.06406,1.88733,0.99743,0.57849,0.42424,0.44152,0.25054,1.81408,1.84313,0.95711,0.00122056,0.00122056,0.00122056
44,330.996,2.30773,2.12723,1.05272,0.57849,0.42424,0.44152,0.25054,1.81408,1.84313,0.95711,0.00124449,0.00124449,0.00124449
