epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.0657,3.01301,5.4593,1.87897,0.00233,0.0202,0.00153,0.00044,3.462,5.8087,1.70829,1.667e-05,1.667e-05,1.667e-05
2,40.4029,2.99894,5.06141,1.68747,0.00114,0.0101,0.00077,0.00031,3.30193,5.5986,1.65716,4.9845e-05,4.9845e-05,4.9845e-05
3,60.9971,3.17563,4.28818,1.67416,0.00114,0.0101,0.00077,0.00031,3.30193,5.5986,1.65716,8.27999e-05,8.27999e-05,8.27999e-05
4,81.373,3.20456,3.82121,1.61843,0.00112,0.0101,0.00061,0.00018,3.07329,4.87245,1.57119,0.000115535,0.000115535,0.000115535
5,101.961,2.45129,2.95848,1.53499,0.00112,0.0101,0.00061,0.00018,3.07329,4.87245,1.57119,0.00014805,0.00014805,0.00014805
6,122.778,2.34913,2.5091,1.44285,0.05772,0.17172,0.02926,0.01048,2.8095,3.35909,1.41869,0.000180344,0.000180344,0.000180344
7,143.598,3.01811,2.43904,1.28774,0.05772,0.17172,0.02926,0.01048,2.8095,3.35909,1.41869,0.000212419,0.000212419,0.000212419
8,164.646,2.18489,2.49318,1.29741,0.05772,0.17172,0.02926,0.01048,2.8095,3.35909,1.41869,0.000244274,0.000244274,0.000244274
9,186.092,2.25739,1.98551,1.15618,0.51243,0.34343,0.34581,0.11318,2.30034,2.18468,1.17471,0.000275909,0.000275909,0.000275909
10,206.865,1.86003,1.98583,1.05661,0.51243,0.34343,0.34581,0.11318,2.30034,2.18468,1.17471,0.000307323,0.000307323,0.000307323
11,227.822,2.20272,1.90338,1.01559,0.51243,0.34343,0.34581,0.11318,2.30034,2.18468,1.17471,0.000338518,0.000338518,0.000338518
12,249.187,1.84871,1.85931,1.02907,0.51243,0.34343,0.34581,0.11318,2.30034,2.18468,1.17471,0.000369492,0.000369492,0.000369492
13,270.778,2.4549,2.33338,1.02567,0.42868,0.51538,0.39642,0.18509,1.86247,2.08157,0.94029,0.000400247,0.000400247,0.000400247
14,292.964,2.06236,2.47178,1.03095,0.42868,0.51538,0.39642,0.18509,1.86247,2.08157,0.94029,0.000430781,0.000430781,0.000430781
15,313.866,1.94109,2.51464,0.98934,0.42868,0.51538,0.39642,0.18509,1.86247,2.08157,0.94029,0.000461096,0.000461096,0.000461096
16,334.925,2.54602,2.64378,0.97921,0.42868,0.51538,0.39642,0.18509,1.86247,2.08157,0.94029,0.00049119,0.00049119,0.00049119
17,356.157,2.18506,5.2223,1.09471,0.42868,0.51538,0.39642,0.18509,1.86247,2.08157,0.94029,0.000521064,0.000521064,0.000521064
18,377.217,2.07242,2.3052,0.99946,0.42868,0.51538,0.39642,0.18509,1.86247,2.08157,0.94029,0.000550718,0.000550718,0.000550718
19,399.158,1.98907,2.38013,0.98579,0.4515,0.23232,0.24845,0.12769,1.90254,2.9702,0.94389,0.000580153,0.000580153,0.000580153
20,421.013,2.19038,2.42126,0.96366,0.4515,0.23232,0.24845,0.12769,1.90254,2.9702,0.94389,0.000609367,0.000609367,0.000609367
21,442.239,1.79214,2.08601,0.95038,0.4515,0.23232,0.24845,0.12769,1.90254,2.9702,0.94389,0.000638361,0.000638361,0.000638361
22,463.395,2.07369,3.24026,1.09876,0.4515,0.23232,0.24845,0.12769,1.90254,2.9702,0.94389,0.000667135,0.000667135,0.000667135
23,485.306,1.68571,2.03865,0.94674,0.4515,0.23232,0.24845,0.12769,1.90254,2.9702,0.94389,0.000695689,0.000695689,0.000695689
24,506.774,1.73852,2.10404,0.93868,0.4515,0.23232,0.24845,0.12769,1.90254,2.9702,0.94389,0.000724023,0.000724023,0.000724023
25,528.067,1.78052,2.13971,0.99673,0.4515,0.23232,0.24845,0.12769,1.90254,2.9702,0.94389,0.000752137,0.000752137,0.000752137
26,549.62,1.78923,1.98068,0.98178,0.4515,0.23232,0.24845,0.12769,1.90254,2.9702,0.94389,0.000780031,0.000780031,0.000780031
27,571.172,1.76116,2.58073,1.01251,0.60915,0.73994,0.74267,0.4318,1.37809,4.31039,0.90121,0.000807705,0.000807705,0.000807705
28,593.763,1.74533,2.94711,0.98534,0.60915,0.73994,0.74267,0.4318,1.37809,4.31039,0.90121,0.000835159,0.000835159,0.000835159
29,616.329,1.58851,2.10415,0.94467,0.60915,0.73994,0.74267,0.4318,1.37809,4.31039,0.90121,0.000862392,0.000862392,0.000862392
30,641.536,1.77932,4.47501,1.03484,0.60915,0.73994,0.74267,0.4318,1.37809,4.31039,0.90121,0.000889406,0.000889406,0.000889406
31,666.586,2.0752,2.88225,0.95759,0.60915,0.73994,0.74267,0.4318,1.37809,4.31039,0.90121,0.0009162,0.0009162,0.0009162
32,690.036,1.32516,2.22665,0.91995,0.60915,0.73994,0.74267,0.4318,1.37809,4.31039,0.90121,0.000942774,0.000942774,0.000942774
33,715.581,1.71147,5.17155,1.0233,0.60915,0.73994,0.74267,0.4318,1.37809,4.31039,0.90121,0.000969127,0.000969127,0.000969127
34,743.462,1.61852,2.68783,0.94711,0.60915,0.73994,0.74267,0.4318,1.37809,4.31039,0.90121,0.000995261,0.000995261,0.000995261
35,771.335,1.46507,2.22936,0.93375,0.60915,0.73994,0.74267,0.4318,1.37809,4.31039,0.90121,0.00102117,0.00102117,0.00102117
36,795.775,1.38796,2.07297,0.93393,0.60915,0.73994,0.74267,0.4318,1.37809,4.31039,0.90121,0.00104687,0.00104687,0.00104687
37,818.794,1.75699,2.14469,0.93059,0.60915,0.73994,0.74267,0.4318,1.37809,4.31039,0.90121,0.00107234,0.00107234,0.00107234
38,841.291,1.4628,3.7436,1.01992,0.60915,0.73994,0.74267,0.4318,1.37809,4.31039,0.90121,0.00109759,0.00109759,0.00109759
39,864.175,1.37279,2.42198,0.91668,0.60915,0.73994,0.74267,0.4318,1.37809,4.31039,0.90121,0.00112263,0.00112263,0.00112263
40,886.561,2.17006,2.27154,0.99412,0.27124,0.46465,0.1749,0.08312,1.77618,3.08483,0.97326,0.00114744,0.00114744,0.00114744
41,908.606,1.82963,1.628,0.98176,0.27124,0.46465,0.1749,0.08312,1.77618,3.08483,0.97326,0.00117203,0.00117203,0.00117203
42,931.195,2.23904,1.94946,0.99118,0.27124,0.46465,0.1749,0.08312,1.77618,3.08483,0.97326,0.00119641,0.00119641,0.00119641
43,956.059,2.19354,1.84185,1.03227,0.27124,0.46465,0.1749,0.08312,1.77618,3.08483,0.97326,0.00122056,0.00122056,0.00122056
44,978.273,2.18278,2.13291,1.06176,0.27124,0.46465,0.1749,0.08312,1.77618,3.08483,0.97326,0.00124449,0.00124449,0.00124449
45,1000.37,2.72649,2.57937,1.04075,0.27124,0.46465,0.1749,0.08312,1.77618,3.08483,0.97326,0.00126821,0.00126821,0.00126821
46,1022.74,1.61397,1.64813,0.95107,0.27124,0.46465,0.1749,0.08312,1.77618,3.08483,0.97326,0.0012917,0.0012917,0.0012917
47,1044.96,1.95829,1.81447,1.02721,0.27124,0.46465,0.1749,0.08312,1.77618,3.08483,0.97326,0.00131497,0.00131497,0.00131497
48,1067.2,1.6586,1.66996,0.9898,0.27124,0.46465,0.1749,0.08312,1.77618,3.08483,0.97326,0.00133803,0.00133803,0.00133803
49,1089.44,1.81142,1.86809,1.02444,0.27124,0.46465,0.1749,0.08312,1.77618,3.08483,0.97326,0.00136086,0.00136086,0.00136086
50,1111.15,1.84104,1.64158,1.01732,0.27124,0.46465,0.1749,0.08312,1.77618,3.08483,0.97326,0.00138347,0.00138347,0.00138347
51,1133.48,2.24881,2.66546,1.09292,0.27124,0.46465,0.1749,0.08312,1.77618,3.08483,0.97326,0.00139195,0.00139195,0.00139195
52,1158.56,1.80924,2.01706,1.04581,0.27124,0.46465,0.1749,0.08312,1.77618,3.08483,0.97326,0.00138644,0.00138644,0.00138644
53,1185.99,1.63703,1.56553,0.93826,0.27124,0.46465,0.1749,0.08312,1.77618,3.08483,0.97326,0.00138094,0.00138094,0.00138094
54,1214.15,2.01612,2.33427,1.09794,0.27124,0.46465,0.1749,0.08312,1.77618,3.08483,0.97326,0.00137544,0.00137544,0.00137544
55,1238.99,2.35297,2.23333,1.02027,0.27124,0.46465,0.1749,0.08312,1.77618,3.08483,0.97326,0.00136994,0.00136994,0.00136994
56,1268.19,1.66026,1.6766,0.99763,0.12168,0.52525,0.09123,0.06341,1.35163,18.3902,0.90939,0.00136444,0.00136444,0.00136444
57,1293.97,2.15263,2.27043,0.94891,0.12168,0.52525,0.09123,0.06341,1.35163,18.3902,0.90939,0.00135894,0.00135894,0.00135894
58,1325.1,1.8107,1.67418,0.93888,0.12168,0.52525,0.09123,0.06341,1.35163,18.3902,0.90939,0.00135344,0.00135344,0.00135344
59,1350.81,1.20813,1.0111,0.86377,0.12168,0.52525,0.09123,0.06341,1.35163,18.3902,0.90939,0.00134794,0.00134794,0.00134794
60,1382.88,1.41824,1.32859,0.9593,0.12168,0.52525,0.09123,0.06341,1.35163,18.3902,0.90939,0.00134244,0.00134244,0.00134244
61,1407.53,1.13445,1.1195,0.85257,0.12168,0.52525,0.09123,0.06341,1.35163,18.3902,0.90939,0.00133693,0.00133693,0.00133693
62,1434.3,1.90301,2.24132,0.89165,0.12168,0.52525,0.09123,0.06341,1.35163,18.3902,0.90939,0.00133143,0.00133143,0.00133143
63,1466.66,1.60426,1.23291,0.92478,0.12168,0.52525,0.09123,0.06341,1.35163,18.3902,0.90939,0.00132593,0.00132593,0.00132593
64,1492.35,1.61335,1.48696,0.91013,0.12168,0.52525,0.09123,0.06341,1.35163,18.3902,0.90939,0.00132043,0.00132043,0.00132043
65,1515.85,1.97936,2.01677,0.93703,0.12168,0.52525,0.09123,0.06341,1.35163,18.3902,0.90939,0.00131493,0.00131493,0.00131493
66,1543.42,1.981,1.7399,0.95339,0.12168,0.52525,0.09123,0.06341,1.35163,18.3902,0.90939,0.00130943,0.00130943,0.00130943
67,1572.96,1.94271,1.76995,0.93226,0.12168,0.52525,0.09123,0.06341,1.35163,18.3902,0.90939,0.00130393,0.00130393,0.00130393
68,1597.33,1.2256,1.17883,0.88238,0.12168,0.52525,0.09123,0.06341,1.35163,18.3902,0.90939,0.00129843,0.00129843,0.00129843
69,1620.04,1.74394,1.6766,0.93297,0.12168,0.52525,0.09123,0.06341,1.35163,18.3902,0.90939,0.00129293,0.00129293,0.00129293
70,1647.6,1.43823,1.20654,0.88881,0.12168,0.52525,0.09123,0.06341,1.35163,18.3902,0.90939,0.00128742,0.00128742,0.00128742
71,1678.67,1.52371,1.56799,0.9377,0.12168,0.52525,0.09123,0.06341,1.35163,18.3902,0.90939,0.00128192,0.00128192,0.00128192
72,1707.66,1.73097,1.41922,0.91134,0.24441,0.67677,0.21898,0.09501,1.89898,4.11104,0.95872,0.00127642,0.00127642,0.00127642
73,1731.06,1.83893,1.32154,0.91267,0.24441,0.67677,0.21898,0.09501,1.89898,4.11104,0.95872,0.00127092,0.00127092,0.00127092
74,1754.68,1.67119,1.20377,0.95631,0.24441,0.67677,0.21898,0.09501,1.89898,4.11104,0.95872,0.00126542,0.00126542,0.00126542
75,1779.3,1.79168,1.38027,0.91363,0.24441,0.67677,0.21898,0.09501,1.89898,4.11104,0.95872,0.00125992,0.00125992,0.00125992
76,1804.61,1.80865,1.25151,0.8966,0.24441,0.67677,0.21898,0.09501,1.89898,4.11104,0.95872,0.00125442,0.00125442,0.00125442
77,1834.88,1.87296,1.34425,0.91228,0.24441,0.67677,0.21898,0.09501,1.89898,4.11104,0.95872,0.00124892,0.00124892,0.00124892
78,1862.97,1.80043,1.27179,0.90733,0.24441,0.67677,0.21898,0.09501,1.89898,4.11104,0.95872,0.00124342,0.00124342,0.00124342
79,1887.86,1.89695,1.95143,1.12081,0.24441,0.67677,0.21898,0.09501,1.89898,4.11104,0.95872,0.00123791,0.00123791,0.00123791
80,1912.74,2.02685,1.56131,0.90955,0.24441,0.67677,0.21898,0.09501,1.89898,4.11104,0.95872,0.00123241,0.00123241,0.00123241
81,1938.75,1.88155,1.34688,1.01819,0.24441,0.67677,0.21898,0.09501,1.89898,4.11104,0.95872,0.00122691,0.00122691,0.00122691
82,1963.16,2.0294,1.60643,0.93581,0.24441,0.67677,0.21898,0.09501,1.89898,4.11104,0.95872,0.00122141,0.00122141,0.00122141
